#TYPE System.Data.DataRow
"CustomerID","AddressID","AddressType","rowguid","ModifiedDate"
"29485","1086","Main Office","16765338-dbe4-4421-b5e9-3836b9278e63","9/1/2007 12:00:00 AM"
"29486","621","Main Office","22b3e910-14af-4ed5-8b4d-23bbe757414d","9/1/2005 12:00:00 AM"
"29489","1069","Main Office","a095c88b-d7e6-4178-a078-2eca44214801","7/1/2005 12:00:00 AM"
"29490","887","Main Office","f12e1702-d897-4035-b614-0fe2c72168a9","9/1/2006 12:00:00 AM"
"29492","618","Main Office","5b3b3eb2-3f43-47ed-a20c-23697dabf23b","12/1/2006 12:00:00 AM"
"29494","537","Main Office","492d92b6-31af-47ea-8e00-7c11c7ccc20d","9/1/2005 12:00:00 AM"
"29496","1072","Main Office","0a66b0f3-24bc-4148-9661-26e935cec99a","9/1/2007 12:00:00 AM"
"29497","889","Main Office","7e0b56fd-7324-4898-bedb-2f56a843bb0f","7/1/2005 12:00:00 AM"
"29499","527","Main Office","c90cb0c3-976a-4075-a2b9-13136f4f1a92","9/1/2006 12:00:00 AM"
"29502","893","Main Office","8acb1c6a-7cdf-417b-afd5-9f4c642f3c7e","7/1/2007 12:00:00 AM"
"29503","32","Shipping","be00ffc6-194b-44e9-a129-dfbeb8f1301f","8/1/2006 12:00:00 AM"
"29503","541","Main Office","6811dbe3-1f02-440c-932e-a54f403b3e51","8/1/2006 12:00:00 AM"
"29505","1083","Main Office","740a06af-77f1-45ca-b284-38537324f86a","5/1/2007 12:00:00 AM"
"29506","1082","Main Office","dd51a14d-45f5-44e9-bf3b-260f0e08e545","8/1/2007 12:00:00 AM"
"29508","619","Main Office","2dd326f6-02da-44b7-96fb-b3a86067c5ee","12/1/2005 12:00:00 AM"
"29510","540","Main Office","af6dcc27-dccb-40de-9445-3f4990aabd28","8/1/2005 12:00:00 AM"
"29511","1046","Main Office","61cb8c51-7c96-4306-8050-56c90504972b","8/1/2005 12:00:00 AM"
"29515","504","Main Office","a5f1a232-3cce-4149-9892-de9895bc0f07","8/1/2005 12:00:00 AM"
"29517","794","Main Office","db4d3044-7bf4-4d65-b48e-3ff927a842f0","8/1/2007 12:00:00 AM"
"29521","1054","Main Office","c0f708c3-9147-44c4-b6cb-fd5b765343c0","8/1/2005 12:00:00 AM"
"29522","1040","Main Office","997006d9-674c-4153-86d0-2efa7e1febf4","8/1/2005 12:00:00 AM"
"29523","593","Main Office","15d1e8b0-e626-465c-a565-98500b56c077","8/1/2005 12:00:00 AM"
"29524","599","Main Office","75724647-82a0-49c5-a841-f991bbaebe18","8/1/2007 12:00:00 AM"
"29525","1049","Main Office","e1e5af17-d958-4a88-b537-444f2be24538","9/1/2005 12:00:00 AM"
"29527","512","Main Office","decef565-c5d1-4396-a45f-27c635833b31","9/1/2007 12:00:00 AM"
"29528","788","Main Office","65c98567-6a79-44f0-be71-264547362402","9/1/2006 12:00:00 AM"
"29530","495","Main Office","2a12a463-dca0-480f-83d6-ab58a43e1d24","9/1/2006 12:00:00 AM"
"29531","1061","Main Office","14e08cfe-cf7e-4e76-a5fd-7624cae2482e","12/1/2005 12:00:00 AM"
"29532","881","Main Office","4ac4ecbe-4775-492a-8776-41237d7c6aba","10/1/2006 12:00:00 AM"
"29533","801","Main Office","cd6229c0-a0fa-4a48-b4e1-d1c02437caa8","7/1/2005 12:00:00 AM"
"29535","591","Main Office","26821e31-0e0e-4d73-a494-34f630b636c4","9/1/2006 12:00:00 AM"
"29536","786","Main Office","efa08457-c8d8-4daf-a27f-bf6dfaf76863","12/1/2006 12:00:00 AM"
"29539","480","Main Office","6f7dda53-7b9d-4710-aeb9-20ea0ea5098b","8/1/2005 12:00:00 AM"
"29541","467","Main Office","22b4d3bb-6af2-4d40-8f84-10fad8d5a74f","11/1/2005 12:00:00 AM"
"29544","519","Main Office","b1d3b3fa-e485-4f4c-b781-b4efb273dedc","8/1/2006 12:00:00 AM"
"29545","11","Shipping","3d88495a-776e-414a-a91e-6d8979a35d86","4/1/2007 12:00:00 AM"
"29545","834","Main Office","6e047f2b-6170-47bb-8d14-8a0702d1eb17","4/1/2007 12:00:00 AM"
"29546","635","Main Office","bff85ebd-ccd0-4daa-afbb-b415edf44265","9/1/2006 12:00:00 AM"
"29548","498","Main Office","1419ea0f-f8ee-4d5b-9e5f-90fc3a9999ca","8/1/2005 12:00:00 AM"
"29550","853","Main Office","68f33bff-28c2-4adf-a6f0-ef5ed52c0172","9/1/2007 12:00:00 AM"
"29553","581","Main Office","6332ec14-ce8a-48ac-b1c2-476077e07952","9/1/2007 12:00:00 AM"
"29554","776","Main Office","316172fc-ba5f-4a48-86e0-5213a7f59059","11/1/2005 12:00:00 AM"
"29557","513","Main Office","d3e8fa3e-72b0-4059-a99f-ed52f631e72c","9/1/2007 12:00:00 AM"
"29558","500","Main Office","c646937c-7b2b-4284-994c-11d7bf5e1f21","8/1/2005 12:00:00 AM"
"29559","185","Shipping","4764266c-0fa0-4adb-913f-013da52d6353","9/1/2006 12:00:00 AM"
"29559","861","Main Office","30233957-e9b2-4c10-9621-6704ad79d316","9/1/2006 12:00:00 AM"
"29560","1030","Main Office","4012a207-360d-4189-833c-61b0ebe4e593","8/1/2006 12:00:00 AM"
"29562","1091","Main Office","5a938e81-23b5-41f1-9f19-48aa09f5eb48","9/1/2005 12:00:00 AM"
"29565","1073","Main Office","abbed10e-0cd0-4808-9465-d8de63bb0b8d","7/1/2005 12:00:00 AM"
"29566","810","Main Office","81390af7-d4d0-4f4d-af42-ab21f5713f14","7/1/2005 12:00:00 AM"
"29567","448","Main Office","4f5a655a-1259-4f7e-95f6-cd18ca6b9a01","8/1/2007 12:00:00 AM"
"29568","993","Main Office","dcec97ac-fc1a-4fac-9dd5-b7cab0625d77","9/1/2006 12:00:00 AM"
"29569","562","Main Office","1f8372c3-2ae5-478b-90d2-618e6c5b28f5","8/1/2005 12:00:00 AM"
"29570","592","Main Office","fff86e21-3f2f-4dee-a66f-e750aceb288c","7/1/2005 12:00:00 AM"
"29571","864","Main Office","0051c719-aeec-46f0-8430-562d074be9e9","8/1/2005 12:00:00 AM"
"29573","1016","Main Office","be9052de-38c3-4055-88c4-d1cbf9e4a7f2","9/1/2006 12:00:00 AM"
"29574","577","Main Office","44d2bd82-e3b9-4390-b645-8f03e8f53237","9/1/2006 12:00:00 AM"
"29576","514","Main Office","f0d0449b-b4b5-4bee-ae9e-dda391e1971a","9/1/2006 12:00:00 AM"
"29577","471","Main Office","79195f71-4929-4c90-be50-d9dfd1767268","9/1/2005 12:00:00 AM"
"29579","1012","Main Office","1d926304-e5cd-401c-b40a-c68c9ca545c8","9/1/2006 12:00:00 AM"
"29580","849","Main Office","2548c6c5-6e73-472a-a5c8-7bc82d223038","7/1/2005 12:00:00 AM"
"29582","848","Main Office","8e96eccf-87c9-4123-9658-82807bf5cc39","8/1/2005 12:00:00 AM"
"29583","576","Main Office","12fdb97e-8664-4a38-8b9d-e7a5d48d3e6b","11/1/2005 12:00:00 AM"
"29584","1014","Main Office","27f155c4-618e-41e0-b843-6887c0b1fd95","9/1/2006 12:00:00 AM"
"29585","841","Main Office","85c76950-0a27-4b55-8c4d-4673172d5ac1","11/1/2005 12:00:00 AM"
"29587","664","Main Office","be7da2a1-7558-4566-84d7-90f67dc24375","7/1/2006 12:00:00 AM"
"29588","890","Main Office","aa005e64-2103-433d-ac7e-886222396936","11/1/2005 12:00:00 AM"
"29590","789","Main Office","b6aa96ac-8470-4683-923c-6d8c00a023dc","8/1/2006 12:00:00 AM"
"29591","584","Main Office","20668d7d-b2da-43dd-83db-4f02a269924b","7/1/2007 12:00:00 AM"
"29593","585","Main Office","0b887414-135a-43f6-94dc-60a220362c6d","8/1/2006 12:00:00 AM"
"29596","458","Main Office","f304c494-8b65-41a7-a144-853ff6dcf91c","7/1/2005 12:00:00 AM"
"29598","1000","Main Office","36d419a6-97c3-4cf3-96ef-8c8951faf7d3","8/1/2006 12:00:00 AM"
"29599","877","Main Office","db83bcb8-214f-4b20-92c8-75d4b982a134","7/1/2006 12:00:00 AM"
"29600","797","Main Office","979abdf5-114c-4324-9b43-0e9f090a6174","9/1/2006 12:00:00 AM"
"29601","516","Main Office","a35638e6-0f87-47c0-9c72-1b65cadfaf59","8/1/2006 12:00:00 AM"
