#TYPE System.Data.DataRow
"SalesOrderID","RevisionNumber","OrderDate","DueDate","ShipDate","Status","OnlineOrderFlag","SalesOrderNumber","PurchaseOrderNumber","AccountNumber","CustomerID","ShipToAddressID","BillToAddressID","ShipMethod","CreditCardApprovalCode","SubTotal","TaxAmt","Freight","TotalDue","Comment","rowguid","ModifiedDate"
"71774","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71774","PO348186287","10-4020-000609","29847","1092","1092","CARGO TRANSPORT 5","","880.3484","70.4279","22.0087","972.7850","","89e42cdc-8506-48a2-b89b-eb3e64e3554e","6/8/2008 12:00:00 AM"
"71776","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71776","PO19952192051","10-4020-000106","30072","640","640","CARGO TRANSPORT 5","","78.8100","6.3048","1.9703","87.0851","","8a3448c5-e677-4158-a29b-dd33069be0b0","6/8/2008 12:00:00 AM"
"71780","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71780","PO19604173239","10-4020-000340","30113","653","653","CARGO TRANSPORT 5","","38418.6895","3073.4952","960.4672","42452.6519","","a47665d2-7ac9-4cf3-8a8b-2a3883554284","6/8/2008 12:00:00 AM"
"71782","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086","CARGO TRANSPORT 5","","39785.3304","3182.8264","994.6333","43962.7901","","f1be45a5-5c57-4a50-93c6-5f8be44cb7cb","6/8/2008 12:00:00 AM"
"71783","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71783","PO19343113609","10-4020-000024","29957","992","992","CARGO TRANSPORT 5","","83858.4261","6708.6741","2096.4607","92663.5609","","7db2329e-6446-42a8-8915-9c8370b68ed8","6/8/2008 12:00:00 AM"
"71784","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71784","PO19285135919","10-4020-000448","29736","659","659","CARGO TRANSPORT 5","","108561.8317","8684.9465","2714.0458","119960.8240","","ca31f324-2c32-4f8d-95eb-596e7f343027","6/8/2008 12:00:00 AM"
"71796","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71796","PO17052159664","10-4020-000420","29660","1058","1058","CARGO TRANSPORT 5","","57634.6342","4610.7707","1440.8659","63686.2708","","917ef5ba-f32d-4563-8588-66db0bcdc846","6/8/2008 12:00:00 AM"
"71797","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71797","PO16501134889","10-4020-000142","29796","642","642","CARGO TRANSPORT 5","","78029.6898","6242.3752","1950.7422","86222.8072","","bb3fee84-c8bf-4dd2-bcca-675ab6a11c38","6/8/2008 12:00:00 AM"
"71815","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71815","PO13021155785","10-4020-000276","30089","1034","1034","CARGO TRANSPORT 5","","1141.5782","91.3263","28.5395","1261.4440","","2aa5f39b-1096-4a4b-b17b-f10504a397ce","6/8/2008 12:00:00 AM"
"71816","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71816","PO12992180445","10-4020-000295","30027","1038","1038","CARGO TRANSPORT 5","","3398.1659","271.8533","84.9541","3754.9733","","e3c189e7-98de-4c40-b6c2-0d1d13f9bb33","6/8/2008 12:00:00 AM"
"71831","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71831","PO10295111084","10-4020-000322","30019","652","652","CARGO TRANSPORT 5","","2016.3408","161.3073","50.4085","2228.0566","","625d76fc-c26f-4149-bf24-939fb2bccd77","6/8/2008 12:00:00 AM"
"71832","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71832","PO10353140756","10-4020-000088","29922","639","639","CARGO TRANSPORT 5","","35775.2113","2862.0169","894.3803","39531.6085","","addb8620-432a-456e-8470-1bedd4bc3457","6/8/2008 12:00:00 AM"
"71845","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71845","PO2697119362","10-4020-000187","29938","1020","1020","CARGO TRANSPORT 5","","41622.0511","3329.7641","1040.5513","45992.3665","","e68f7ee9-c581-45cd-9c4f-386aeda74d84","6/8/2008 12:00:00 AM"
"71846","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71846","PO2378131604","10-4020-000635","30102","669","669","CARGO TRANSPORT 5","","2453.7645","196.3012","61.3441","2711.4098","","a86d90ad-d1c0-440d-9a57-5b763bf18234","6/8/2008 12:00:00 AM"
"71856","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71856","PO16530177647","10-4020-000601","30033","1090","1090","CARGO TRANSPORT 5","","602.1946","48.1756","15.0549","665.4251","","05fee073-0640-4a3c-914d-fe4ae6da3d43","6/8/2008 12:00:00 AM"
"71858","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71858","PO16153112278","10-4020-000186","29653","1019","1019","CARGO TRANSPORT 5","","13823.7083","1105.8967","345.5927","15275.1977","","5ef091e1-a0af-437d-85ed-0b557c7923f7","6/8/2008 12:00:00 AM"
"71863","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71863","PO16124166561","10-4020-000649","29975","1098","1098","CARGO TRANSPORT 5","","3324.2759","265.9421","83.1069","3673.3249","","3ed03b56-a4bf-4872-9471-bc6c7893eab7","6/8/2008 12:00:00 AM"
"71867","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71867","PO13050111529","10-4020-000160","29644","643","643","CARGO TRANSPORT 5","","1059.3100","84.7448","26.4828","1170.5376","","29743c1b-d3af-4cfe-bd2e-6de436e3398f","6/8/2008 12:00:00 AM"
"71885","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71885","PO6119130779","10-4020-000268","29612","649","649","CARGO TRANSPORT 5","","550.3860","44.0309","13.7597","608.1766","","caad090d-56a6-444e-af24-7bee7605f120","6/8/2008 12:00:00 AM"
"71895","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71895","PO3770176273","10-4020-000151","29584","1014","1014","CARGO TRANSPORT 5","","246.7392","19.7391","6.1685","272.6468","","07a17c0a-7f9a-4413-a035-519e5a4573be","6/8/2008 12:00:00 AM"
"71897","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71897","PO4785152479","10-4020-000223","29877","1026","1026","CARGO TRANSPORT 5","","12685.8899","1014.8712","317.1472","14017.9083","","f88b3458-e0cf-4248-9b72-1805351463b2","6/8/2008 12:00:00 AM"
"71898","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71898","PO5713190501","10-4020-000052","29932","637","637","CARGO TRANSPORT 5","","63980.9884","5118.4791","1599.5247","70698.9922","","96f84d24-3355-43d2-b5a3-55e97c17e58c","6/8/2008 12:00:00 AM"
"71899","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71899","PO4582142611","10-4020-000025","29568","993","993","CARGO TRANSPORT 5","","2415.6727","193.2538","60.3918","2669.3183","","31d41e8f-6f43-4cae-bee3-3cccb262f231","6/8/2008 12:00:00 AM"
"71902","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71902","PO5539125166","10-4020-000061","29929","999","999","CARGO TRANSPORT 5","","74058.8078","5924.7046","1851.4702","81834.9826","","137850d6-efdf-4de1-920f-5757a86cdaaf","6/8/2008 12:00:00 AM"
"71915","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71915","PO2349143275","10-4020-000006","29638","989","989","CARGO TRANSPORT 5","","2137.2310","170.9785","53.4308","2361.6403","","0bcb3d9c-9008-4b99-bb45-928adae7be6b","6/8/2008 12:00:00 AM"
"71917","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71917","PO29111718","10-4020-000304","30025","651","651","CARGO TRANSPORT 5","","40.9045","3.2724","1.0226","45.1995","","6e903ea3-1b9e-4232-94c3-81c15669f830","6/8/2008 12:00:00 AM"
"71920","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71920","PO4002189853","10-4020-000674","29982","1102","1102","CARGO TRANSPORT 5","","2980.7929","238.4634","74.5198","3293.7761","","6228c9cb-1cab-4e32-98ca-d0dae5fe563e","6/8/2008 12:00:00 AM"
"71923","2","6/1/2008 12:00:00 AM","6/13/2008 12:00:00 AM","6/8/2008 12:00:00 AM","5","False","SO71923","PO174173096","10-4020-000277","29781","1035","1035","CARGO TRANSPORT 5","","106.5408","8.5233","2.6635","117.7276","","f9899f3f-b4b6-4756-b013-96c16be20427","6/8/2008 12:00:00 AM"
